hero,opponent,games,wins,losses,win_rate,source
Franco,Gatotkaca,5,4,1,0.8,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Franco,Yve,5,3,2,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Franco,Angela,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Franco,Hylos,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Franco,Ling,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Akai,Phoveus,6,2,4,0.3333,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Akai,Faramis,5,3,2,0.6,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Akai,Gatotkaca,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Akai,Ruby,4,2,2,0.5,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Akai,Moskov,4,1,3,0.25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Joy,Aurora,4,1,3,0.25,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Joy,Edith,4,0,4,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Joy,Nolan,4,0,4,0.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Joy,Claude,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Joy,Hayabusa,3,2,1,0.6667000000000001,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
X.Borg,Hylos,5,2,3,0.4,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
X.Borg,Alpha,4,4,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
X.Borg,Roger,4,3,1,0.75,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
X.Borg,Terizla,3,3,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
X.Borg,Yve,3,3,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
Lancelot,Nolan,5,5,0,1.0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14
