,file,player,ss_type,opening_failure,battle_id,match_result,match_duration,left_team_kills,right_team_kills,left_heroes,right_heroes,left_medals,right_medals,left_scores,right_scores
0,-Lexi/Screenshot_20230312-123242.jpg,-Lexi,Result,False,826832277614711985,Victory,27.583333333333332,52,44,"['Melissa', 'Valir', 'Esmeralda', 'Lancelot', 'Belerick']","['Franco', 'Chou', 'Cecilion', 'Aamon', 'Moskov']","['Silver', 'Gold', 'Silver', 'MVP Win', 'Gold']","['Silver', 'Bronze', 'Silver', 'MVP Lose', 'Gold']","[6.7, 10.9, 7.4, 11.8, 10.0]","[8.3, 3.7, 8.6, 8.7, 8.6]"
1,-Lexi/Screenshot_20230312-123251.jpg,-Lexi,Result,False,826568042636726171,Defeat,15.383333333333333,23,22,"['Xavier', 'Moskov', 'Helcurt', 'Masha', 'Esmeralda']","['Carmilla', 'Lolita', 'Cecilion', 'Wanwan', 'Sun']","['Gold', 'Bronze', 'MVP Lose', 'Silver', 'Silver']","['Silver', 'Gold', 'MVP Win', 'Gold', 'Silver']","[7.6, 5.4, 9.6, 6.7, 6.9]","[5.8, 8.2, 8.9, 6.5, 5.6]"
2,-Lexi/Screenshot_20230312-123300.jpg,-Lexi,Result,False,190736668910472369,Defeat,16.883333333333333,33,26,"['Balmond', 'Kadita', 'Esmeralda', 'Clint', 'Estes']","['Fredrinn', 'Lesley', 'Silvanna', 'Hylos', 'Vexana']","['Silver', 'MVP Lose', 'Gold', 'Silver', 'Bronze']","['MVP Win', 'Silver', 'Silver', 'Gold', 'Gold']","[7.9, 8.9, 8.3, 6.3, 5.4]","[9.2, 7.2, 5.7, 7.9, 7.8]"
3,-Lexi/Screenshot_20230312-123309.jpg,-Lexi,Result,False,822791349044299775,Victory,13.3,33,16,"['Clint', 'Lunox', 'Esmeralda', 'Akai', 'Balmond']","['Yin', 'Dyrroth', 'Chou', 'Harith', 'Wanwan']","['MVP Win', 'Silver', 'Gold', 'Silver', 'Gold']","['MVP Lose', 'Silver', 'Silver', 'Silver', 'Bronze']","[10.2, 6.3, 8.7, 7.1, 8.9]","[6.7, 5.9, 5.3, 5.4, 3.0]"
4,-Lexi/Screenshot_20230312-123318.jpg,-Lexi,Result,False,190515572584006250,Defeat,15.066666666666666,27,28,"['Esmeralda', 'Lunox', 'Wanwan', 'Kadita', 'Fanny']","['Kimmy', 'Badang', 'Natalia', 'Angela', 'Roger']","['MVP Lose', 'Silver', 'Bronze', 'Silver', 'Bronze']","['Gold', 'Bronze', 'Gold', 'Bronze', 'MVP Win']","[10.7, 5.8, 3.6, 5.2, 4.0]","[8.0, 3.3, 7.7, 4.1, 9.3]"
5,-Lexi/Screenshot_20230312-123338.jpg,-Lexi,Result,False,720818689314438636,Defeat,13.6,18,28,"['Bruno', 'Esmeralda', 'Nana', 'Rafaela', 'Balmond']","['Hanabi', 'Faramis', 'Valir', 'Freya', 'Julian']","['MVP Lose', 'Bronze', 'Gold', 'Silver', 'Silver']","['Gold', 'MVP Win', 'Gold', 'Gold', 'Gold']","[7.2, 4.8, 6.7, 6.4, 6.7]","[7.1, 10.6, 7.4, 9.3, 7.3]"
6,-Lexi/Screenshot_20230312-123347.jpg,-Lexi,Result,False,822450564864194194,Defeat,11.216666666666667,17,17,"['Lunox', 'Esmeralda', 'Khufra', 'Karina', 'Brody']","['Paquito', 'Karrie', 'Kaja', ""Chang'e"", 'Dyrroth']","['Gold', 'Silver', 'MVP Lose', 'Silver', 'Bronze']","['Gold', 'MVP Win', 'Gold', 'Gold', 'Silver']","[7.2, 6.6, 9.2, 7.1, 5.9]","[8.2, 8.9, 6.2, 6.2, 4.9]"
7,-Lexi/Screenshot_20230312-123356.jpg,-Lexi,Result,False,822286664617210040,Defeat,20.283333333333335,35,29,"['Kagura', 'Esmeralda', 'Brody', 'Karrie', 'Masha']","['Moskov', 'Julian', 'Thamuz', 'Chou', 'Valir']","['MVP Lose', 'Silver', 'Silver', 'Gold', 'Silver']","['MVP Win', 'Gold', 'Silver', 'Bronze', 'Gold']","[9.9, 7.9, 6.5, 9.0, 7.5]","[8.1, 6.2, 5.3, 4.1, 7.0]"
8,-Lexi/Screenshot_20230312-123405.jpg,-Lexi,Result,False,821986403453544485,Victory,21.033333333333335,36,20,"['Brody', 'Roger', 'Gord', 'Esmeralda', 'Franco']","['Melissa', 'Xavier', 'Yin', 'Fanny', 'Kaja']","['Gold', 'Silver', 'Gold', 'MVP Win', 'Gold']","['Bronze', 'Gold', 'Bronze', 'MVP Lose', 'Silver']","[7.9, 6.5, 7.5, 12.7, 8.7]","[4.3, 6.5, 3.0, 7.1, 6.4]"
9,-Lexi/Screenshot_20230312-123414.jpg,-Lexi,Result,False,821552203734752754,Victory,16.366666666666667,32,17,"['Wanwan', 'Khufra', 'Esmeralda', 'Hayabusa', 'Valir']","['Edith', 'Gusion', 'Franco', 'Pharsa', 'Brody']","['Gold', 'Gold', 'MVP Win', 'Gold', 'Silver']","['Bronze', 'Silver', 'Gold', 'MVP Lose', 'Silver']","[9.8, 8.6, 10.3, 8.9, 4.6]","[4.6, 5.8, 7.0, 7.7, 6.3]"
