,file,player,ss_type,opening_failure,battle_id,match_result,match_duration,left_team_kills,right_team_kills,left_heroes,right_heroes,left_medals,right_medals,left_scores,right_scores
4754,vee kreische./Screenshot_20230504-101534.jpg,vee kreische.,Result,False,580451611828190589,Victory,10.816666666666666,17,3,"['Gloo', 'Kaja', 'Moskov', 'Ling', 'Lunox']","['Yi Sun-shin', 'Yve', 'Minsitthar', 'Karrie', 'Bruno']","['Gold', 'Gold', 'Silver', 'Gold', 'MVP Win']","['Bronze', 'Bronze', 'Silver', 'Bronze', 'Bronze']","[8.5, 8.1, 6.8, 8.4, 11.4]","[4.2, 4.3, 6.0, 4.2, 3.0]"
4755,vee kreische./Screenshot_20230504-101543.jpg,vee kreische.,Result,False,579804373141583908,Victory,16.466666666666665,33,12,"['Gloo', 'Lunox', 'Kaja', 'Ling', 'Melissa']","['Pharsa', 'Martis', 'Brody', 'Estes', 'Freya']","['Gold', 'Gold', 'Gold', 'Gold', 'MVP Win']","['Silver', 'Silver', 'Bronze', 'Silver', 'MVP Lose']","[10.1, 9.9, 8.5, 8.4, 10.5]","[5.3, 4.9, 3.0, 5.8, 7.3]"
4756,vee kreische./Screenshot_20230504-101552.jpg,vee kreische.,Result,False,579200535099503461,Victory,14.533333333333333,35,16,"['Gloo', 'Lunox', 'Angela', 'Ling', 'Wanwan']","['Xavier', 'Claude', 'Arlott', 'Chou', 'Hayabusa']","['Gold', 'MVP Win', 'Gold', 'Gold', 'Gold']","['MVP Lose', 'Silver', 'Bronze', 'Bronze', 'Silver']","[8.8, 10.4, 8.2, 9.0, 9.0]","[8.9, 4.9, 3.8, 3.5, 4.8]"
4757,vee kreische./Screenshot_20230504-101601.jpg,vee kreische.,Result,False,578466512303713748,Victory,17.183333333333334,37,23,"['Beatrix', 'Khaleed', 'Franco', 'Lunox', 'Ling']","['Joy', 'Xavier', 'Lancelot', 'Atlas', 'Claude']","['Silver', 'Gold', 'Gold', 'Gold', 'MVP Win']","['Gold', 'Silver', 'MVP Lose', 'Silver', 'Bronze']","[6.7, 8.1, 7.2, 7.4, 10.0]","[9.1, 7.3, 9.9, 5.5, 4.0]"
4758,vee kreische./Screenshot_20230504-101610.jpg,vee kreische.,Result,False,644614016593967456,Victory,17.4,37,29,"['Arlott', 'Angela', 'Beatrix', 'Fredrinn', 'Alice']","['Minotaur', 'Grock', 'Luo Yi', 'Aamon', 'Melissa']","['Silver', 'Gold', 'Gold', 'Gold', 'MVP Win']","['Gold', 'Bronze', 'Silver', 'Silver', 'MVP Lose']","[5.5, 8.1, 8.3, 8.4, 9.0]","[7.0, 4.6, 6.0, 6.4, 8.6]"
4759,vee kreische./Screenshot_20230504-101629.jpg,vee kreische.,Result,False,245038271150827381,Defeat,11.85,13,25,"['Khufra', 'Kagura', 'Moskov', 'Grock', 'Ling']","['Valentina', 'Julian', 'Claude', 'Beatrix', 'Aldous']","['Bronze', 'MVP Lose', 'Gold', 'Silver', 'Bronze']","['Gold', 'MVP Win', 'Silver', 'Bronze', 'Gold']","[4.4, 7.0, 6.1, 4.9, 3.1]","[8.3, 13.8, 7.5, 3.9, 9.6]"
4760,vee kreische./Screenshot_20230504-101638.jpg,vee kreische.,Result,False,642260670868495640,Defeat,17.733333333333334,32,31,"['Gloo', 'Minsitthar', 'Harley', 'Fanny', 'Clint']","['Melissa', 'Kadita', 'Pharsa', 'Yi Sun-shin', 'Aldous']","['MVP Lose', 'Bronze', 'Gold', 'Silver', 'Silver']","['Gold', 'MVP Win', 'Silver', 'Gold', 'Gold']","[7.3, 4.2, 6.5, 6.3, 6.5]","[8.2, 8.5, 4.7, 7.4, 7.4]"
4761,vee kreische./Screenshot_20230504-101647.jpg,vee kreische.,Result,False,641854504401246266,Victory,14.566666666666666,27,12,"['Luo Yi', 'Fredrinn', 'Melissa', 'Grock', 'Khufra']","['Faramis', 'Hayabusa', 'Lapu-Lapu', 'Beatrix', 'Franco']","['Gold', 'Gold', 'Silver', 'MVP Win', 'Gold']","['MVP Lose', 'Bronze', 'Silver', 'Silver', 'Silver']","[8.7, 9.8, 7.7, 10.9, 10.4]","[7.0, 4.8, 4.8, 5.9, 5.4]"
4762,vee kreische./Screenshot_20230504-101656.jpg,vee kreische.,Result,False,641678526706226731,Defeat,3.3,2,3,"['Joy', 'Esmeralda', 'Khufra', 'Moskov', 'Lunox']","['Arlott', 'Beatrix', 'Gloo', 'Harley', 'Lancelot']","['Gold', 'Bronze', 'MVP Lose', 'Bronze', 'Silver']","['MVP Win', 'Gold', 'Silver', 'Silver', 'Silver']","[7.5, 4.0, 7.6, 4.4, 5.3]","[6.9, 6.1, 5.1, 5.9, 4.8]"
4763,vee kreische./Screenshot_20230504-101725.jpg,vee kreische.,Result,False,229205763272305218,Defeat,18.033333333333335,32,26,"['Valentina', 'Moskov', 'Fanny', 'Terizla', 'Franco']","['Argus', 'Lolita', 'Fredrinn', 'Pharsa', 'Brody']","['Silver', 'Silver', 'MVP Lose', 'Bronze', 'Gold']","['Gold', 'MVP Win', 'Gold', 'Gold', 'Gold']","[7.9, 7.6, 10.1, 5.4, 9.6]","[6.6, 7.6, 6.4, 6.5, 6.9]"
4764,vee kreische./Screenshot_20230504-101734.jpg,vee kreische.,Result,False,672113227606353281,Defeat,13.833333333333334,22,32,"['Grock', 'Gusion', 'Wanwan', 'Aulus', 'Atlas']","['Faramis', 'Lancelot', 'Minsitthar', 'Floryn', 'Moskov']","['Silver', 'Bronze', 'MVP Lose', 'Silver', 'Silver']","['MVP Win', 'Silver', 'Silver', 'Gold', 'Gold']","[5.1, 5.0, 7.5, 5.4, 5.1]","[12.1, 7.2, 7.2, 10.9, 10.4]"
4765,vee kreische./Screenshot_20230504-101743.jpg,vee kreische.,Result,False,671949378898976832,Defeat,15.533333333333333,11,26,"['Valentina', 'Karrie', 'Hayabusa', 'Kaja', 'Lapu-Lapu']","['Faramis', 'Franco', 'Estes', 'Fredrinn', 'Melissa']","['Silver', 'MVP Lose', 'Gold', 'Bronze', 'Silver']","['MVP Win', 'Gold', 'Gold', 'Gold', 'Silver']","[4.6, 7.9, 6.3, 3.0, 5.0]","[12.4, 8.7, 9.9, 11.4, 7.7]"
4766,vee kreische./Screenshot_20230504-101752.jpg,vee kreische.,Result,False,671772125598669644,Defeat,14.733333333333333,8,15,"['Diggie', 'Yi Sun-shin', 'Pharsa', 'Minsitthar', 'Brody']","['Melissa', 'Xavier', 'Martis', 'Selena', 'Argus']","['MVP Lose', 'Gold', 'Silver', 'Bronze', 'Silver']","['Gold', 'MVP Win', 'Silver', 'Gold', 'Gold']","[7.2, 7.0, 6.4, 3.3, 5.3]","[7.3, 8.0, 5.4, 6.9, 6.7]"
4767,vee kreische./Screenshot_20230504-101801.jpg,vee kreische.,Result,False,671533398431454617,Defeat,17.7,17,28,"['Valentina', 'Wanwan', 'Lapu-Lapu', 'Hayabusa', 'Atlas']","['Faramis', 'Franco', 'Akai', 'Phoveus', 'Beatrix']","['MVP Lose', 'Bronze', 'Silver', 'Gold', 'Bronze']","['Gold', 'Silver', 'Gold', 'Gold', 'MVP Win']","[10.6, 4.0, 5.7, 6.4, 3.8]","[8.1, 7.6, 8.9, 8.9, 9.9]"
